Instância,n,Formato,Início,Média,Solução (Min),tempo(s)
generated/K5.txt,5,--weight,23,33.7423,18,3.3294
generated/K5.txt,5,--weight,55,33.7384,18,3.50689
generated/K5.txt,5,--weight,46,33.7477,18,3.45765
generated/K6.txt,6,--weight,99,65.4702,50,3.32469
generated/K6.txt,6,--weight,85,65.4706,50,3.43879
generated/K6.txt,6,--weight,89,65.4713,50,3.28777
generated/K7.txt,7,--weight,39,40.9401,22,3.56166
generated/K7.txt,7,--weight,39,40.9273,22,3.53654
generated/K7.txt,7,--weight,77,40.942,22,3.5338
generated/K8.txt,8,--weight,117,47.3134,14,3.29772
generated/K8.txt,8,--weight,77,47.299,14,3.63761
generated/K8.txt,8,--weight,111,47.3136,14,3.62659
generated/K9.txt,9,--weight,107,59.2804,24,3.2746
generated/K9.txt,9,--weight,79,59.2785,24,3.38475
generated/K9.txt,9,--weight,141,59.2813,24,3.66025
generated/K10.txt,10,--weight,161,74.8617,32,3.40981
generated/K10.txt,10,--weight,140,74.8524,32,3.76095
generated/K10.txt,10,--weight,161,74.8464,32,3.52003
generated/K11.txt,11,--weight,122,71.6666,28,3.72183
generated/K11.txt,11,--weight,137,71.6718,28,3.75467
generated/K11.txt,11,--weight,111,71.6761,28,3.44161
generated/K12.txt,12,--weight,124,90.3635,44,3.58419
generated/K12.txt,12,--weight,132,90.3274,44,3.65082
generated/K12.txt,12,--weight,156,90.3521,44,3.65967
generated/K13.txt,13,--weight,102,69.4351,30,3.76786
generated/K13.txt,13,--weight,72,69.8315,30,3.90056
generated/K13.txt,13,--weight,101,69.3682,30,3.58804
generated/K14.txt,14,--weight,133,89.3908,41,3.7351
generated/K14.txt,14,--weight,176,89.3938,41,3.78455
generated/K14.txt,14,--weight,169,89.4254,41,3.75326
generated/K15.txt,15,--weight,194,76.8881,27,3.74158
generated/K15.txt,15,--weight,123,76.9171,27,3.79213
generated/K15.txt,15,--weight,159,76.8887,27,3.73218
generated/K16.txt,16,--weight,196,82.5551,29,4.05216
generated/K16.txt,16,--weight,254,82.5735,29,3.94838
generated/K16.txt,16,--weight,146,82.5887,29,3.89711
generated/K17.txt,17,--weight,228,83.2085,29,3.89362
generated/K17.txt,17,--weight,231,83.2612,29,3.93168
generated/K17.txt,17,--weight,160,83.2707,29,4.17589
generated/K18.txt,18,--weight,294,94.1778,35,4.09316
generated/K18.txt,18,--weight,173,95.2303,35,4.36784
generated/K18.txt,18,--weight,274,95.2597,35,4.31751
generated/K19.txt,19,--weight,200,96.2771,40,4.08525
generated/K19.txt,19,--weight,247,96.2623,40,4.00214
generated/K19.txt,19,--weight,280,96.2727,40,3.96213
generated/K20.txt,20,--weight,241,106.724,42,4.12807
generated/K20.txt,20,--weight,169,106.698,42,4.21079
generated/K20.txt,20,--weight,305,104.943,42,4.21471
generated/K21.txt,21,--weight,281,94.6681,26,4.11823
generated/K21.txt,21,--weight,339,94.6092,26,4.19076
generated/K21.txt,21,--weight,273,94.6084,26,4.38637
generated/K100.txt,100,--weight,1123,275.472,70,10.2567
generated/K100.txt,100,--weight,1175,279.458,76,10.3817
generated/K100.txt,100,--weight,1242,276.988,73,10.4494
generated/K2392.txt,2392,--weight,30358,5511.89,1202,221.827
generated/K2392.txt,2392,--weight,31802,5506.9,1206,205.955
generated/K2392.txt,2392,--weight,30201,5504.89,1199,221.607
given/K12.txt,12,--matrix,1142,664.661,246,3.8012
given/K12.txt,12,--matrix,1848,664.666,246,3.59344
given/K12.txt,12,--matrix,1323,664.615,246,3.44421
given/K15.txt,15,--matrix,132,108.883,70,3.72964
given/K15.txt,15,--matrix,156,108.866,70,4.12614
given/K15.txt,15,--matrix,223,108.939,70,3.76144
given/Tsp58.txt,58,--weight,54648,13045.6,9464,6.94058
given/Tsp58.txt,58,--weight,69250,13046,9464,7.04619
given/Tsp58.txt,58,--weight,65879,13044.4,9464,7.06362
given/PCV160.txt,160,--coordinates,20854.3,2536.98,1493.42,14.7811
given/PCV160.txt,160,--coordinates,21822.6,2540.45,1493.42,14.5695
given/PCV160.txt,160,--coordinates,23611.2,2565.08,1526.51,14.5947
given/Groestchel_442.txt,442,--coordinates,38278.8,4697.53,2497.33,39.4099
given/Groestchel_442.txt,442,--coordinates,38495.9,4626.58,2414.81,37.1922
given/Groestchel_442.txt,442,--coordinates,37078.9,4652.64,2446.59,36.6176
given/Rinaldi_2392.txt,2392,--coordinates,7.62836e+06,247337,196189,221.883
given/Rinaldi_2392.txt,2392,--coordinates,7.56199e+06,251728,199841,216.979
given/Rinaldi_2392.txt,2392,--coordinates,7.62948e+06,244217,193751,205.681
given/Rinaldi_2392.txt,2392,--coordinates,7.57215e+06,219584,192038,1067.07
given/Rinaldi_2392.txt,2392,--coordinates,7.78741e+06,217588,190171,886.289
given/Rinaldi_2392.txt,2392,--coordinates,7.64648e+06,218138,190454,851.066
